,Date,Rating,Review
10,2020-01-02,5,"A premier aquarium showcasing sea life from the Monterey Bay situated right off shore the California coast.  What makes The MBA so unique?  How about a deep underwater valley right off shore that brings rich deepwater nutrients and plankton right to the surface.   Thus the abundance of sea life close to shore.For you movie buffs, the aquarium was the setting for the movie Star Trek IV: The Voyage Home released in 1986.  The Star Trek crew was tasked to bring two Humpback Whales to space... wIld...So you want to visit?  There is free residential parking south towards Pacific Grove, metered street parking close by, or pay parking lots a few blocks away.  If you park near Pacific Grove, you'll walk by sea lions lounging in a protective cove immediately south of the aquarium.Favorite Exhibits:- Two Story Kelp Forest Exhibit, large Kelp plants swaying with the current with large and small fish at different depths, seawater pumped and filtered from offshore- Open Ocean Tank, open deep sea fish tank that has previously housed a Great White Shark, Tiger Shark, Hammerhead Sharks, Large Sea Turtles, and rare Ocean Sunfish.  Lots of open water fish.  They had to release the sharks in the past as they kept crashing into spots where they detected an electrical anomaly- Ocean Jellies, jelly fish of all kinds...mesmerizing - Puffin Exhibit, those sea birds swim fast and crazy- Bat Ray Touch Pool, you can touch if they come near you- Two Story Sea Otter Exhibit, saw four in the tank, you can see some in the wild from the aquarium balcony- Enclosed Beach Aviary, rescued sea birds and surf fishAnd more...Plan on at least 3 hours at the MBA."
11,2020-01-03,5,"The whole reason why we decided to drive out to SF was to stop by Monterey for this Aquarium. Beware you have to work a bit far and walk down, I think parking was around $15 in a garage nearby.Admission is a bit pricey around $50 per adult. But we heard such great things about it we had to check it out. Holy Moly this place is amazing!!!! Huge I mean humongous tanks of colorful fish, sharks, sea turtles and everything else you can imagine under the sea, 2 floors of packed fun and kids play space, indoor cafeteria, and an outdoor ocean view. We loved it! My favorite was def the open sea and jelly fishes. Truly an amazing experience and highly recommended.Also, once done, you can walk down the street to the beach area and come great restaurants with amazing views!"
12,2020-01-09,5,So we can up to Monterey on a Monday to visit the area. We did a stop by the aquarium. What a big difference it make if the kids are in school. It was really nice to enjoy this place without all of the crowds during the summer months. I would highly recommend this place during the off season.
13,2019-12-31,5,"I love the Monterey Bay Aquarium! When I used to live in Santa Cruz, this was a go to destination for me. I would love to just stand in front of the kelp forest and get lost in the motions. The sea otters and penguins are fun to watch. The deep ocean with the hammerhead sharks, sun fish, tuna, some times a sea turtle...I also enjoy their special exhibits. This time around, we went to the Tentacles exhibit and looked at the octopus, garden eels, and other mesmerizing creatures. My niece and nephew loved the touch pool where they could touch seaweed, sea grass, kelp, sea urchin, sea stars and abalone shells. They have hand sanitizer and paper towels to clean your hands with afterwards. If you are a member, you can use the member entrance for a quicker entry. Members also can enter normally an hour earlier than the general public. Make sure that you stamp your hand so that you can re-enter. They will check your hand with black light. You will need to park in a public lot or on the street since they do not have onsite parking. They do have a cafe if you're hungry. They also have gift shops with cute stuffed animals, books, mugs, keychains, glass sculptures, etc."
14,2019-12-31,5,"This is my happy place.The Monterey Bay Aquarium is by far the best aquarium I've been to in California. I've gone here ever since I was a little girl, and will continue to go for years to come. The aquarium have a vast variety of sea life stemming from the tiniest of microorganisms all the way to gigantic sunfish. There is always something for every aquatic lover to enjoy.My favorite part of this aquarium is the open sea exhibit. There is a bottom layer and you can also seat yourself higher in the ""bleachers"" to gaze at the schools of fish and occasional shark roaming by. Tip; if you are a student, tickets are discounted from the usual $49.95 to $39.95, so always bring that ID when getting your tickets!"
15,2020-01-13,4,"It's expensive, but I guess this is a good cause if you are having to put your money somewhere! It's probably best for kids over the age of 5 - not that younger kids won't enjoy it, but it's pricey for littler attention spans.  That said, they have feedings of various animals at regular times as well as 15 minute videos in their auditoriums that help break up the day.  The cafe is also surprisingly good.  Note: bring your own mug if you want to get coffee because they don't have take away cups (low waste - hooray!!)."
16,2020-02-08,5,"If you ever go the Monterey Bay, be sure to spend a few hours here. I go back every time I'm in town. I grew up in Seaside and visited the aquarium several times in my life. I live in Illinois now, but always see the Aquarium every time I go home. Always new exhibits and the staff is always enthusiastic and helpful. I even lost my wallet while I was there last time and they held it for me until I came back and claimed it. The jellyfish exhibit has only gotten better and the entire place looks like it got a great makeover. My favorite is the shows they offer several times day about the history of the Monterey Bay, and its fisherman."
17,2020-02-28,5,"Most exciting place! Education, activities, amazing sea life, kids area, outdoor decking to enjoy the views and natural settings. Must See!! They also have food for people! Fanshows, animal feedings, history of the area and Touch tank for everyone"
18,2019-12-25,5,"Beautiful, educational, extensive and fun!! A little pricey but the stuff that you see makes it worth it. Lots of new facts about the residents of the ocean and wonderful to learn about the conservation efforts undertaken. We were 2 adults and it took us about 3 hours to finish seeing the exhibits. If you include the movies, it'll probably take you another 1-1.5 hours. Book your tickets online to avoid standing in line which was pretty long when we got there. Also, if you're going to partake discounts/promos, they recommend online tickets as they don't accept those at on-site booking. Parking is in the public parking lot $15 for the day. Would recommend that or just cabbing it as street parking is tough and only for 2 hours."
19,2020-02-29,4,This is a fun couple of hours for the family.  It has interactive areas where you can touch animals.  Lots of employees/volunteers to teach you about the animals.   The cafe is really good with tons of options.
20,2019-11-28,5,"This is my second visit to the Aquarium, but I guess the first time I was not on Yelp so my first review.  Firstly all the staff that works there, mostly volunteers are so friendly and helpful.  The exhibits themselves are superb, with a great variety of sea life, including sea otters and penguins. I think my favorites were the jellyfish with such a great amount of different types there were all so interesting to see.  Excellent place to go and if you have kids take along. They have a pretty good cafe as well, but we only got coffee there that day."
21,2019-12-17,4,"Get there early! We arrived 15 minutes after the aquarium opened and boy am I glad we did. Is it the best aquarium I've been to? Probably not in terms of the kinds and number of fish. However, I do feel that the experience we had was one of the best. This place is geared to educate through experience and their dedication to research and conservation was loud and clear. I felt that they are doing such relevant research and they want to inform their patrons of their research. I wish I would have known this before going and make a plan that I'd sit through all the presentations at the auditorium. They also had good food at the food court/ cafeteria. The burgers looked good. Unfortunately I did not get it."
22,2019-12-05,4,"The aquarium is super well kept and the overall experience is great. However it is a bit smaller than you would think for a world renowned aquarium. Things are very spacious, but I think they could use more aquatic life vs kid demos. Again- it's a great experience that I would do again so you won't regret going - especially if you have children. It's also not the cheapest so for two people you are looking at over $100 for the both of you. And then if you buy any food or souvenirs the price tag can increase quickly."
23,2019-10-31,5,"It was our first family trip with a baby, a tween, 2 teens and 2 senior citizens. You know what, we brought the whole crew ok. Anyhow, we reached the aquarium and saw this looong line. 5 min later we were already at the ticket counter grabbing our tickets! Tall about fast! Our whole family loved the aquarium. There were interactive, hands on activies. My teens even loved it. There was also scheduled feedings for the fish, penguins and otters. There was so much to see! My favorite was the open ocean, where you could see jelly fish and the HUMUNGOUS aquarium with all big ocean creatures. It was pretty cool! My kids loved it all! We were there for a couple of hours and they still didn't want to leave. So if you come, have at least 3 hours planned just to look amd enjoy. Overall, this was the highlight of our road trip to Monterey. It is fun for all ages, 0 to 99!"
24,2020-01-25,5,This is a great aquarium and an obligatory stop to make if you are in Monterey. My favorite part of this aquarium are the otters and penguins but they also have a nice hands on area (the splash zone) that kids from 3 and up will likely really enjoy. We had fun here this time around and I've always enjoyed coming to this aquarium since I was a kid so I definitely recommend it.
25,2019-11-08,5,"Monterey Bay Aquarium is probably the best aquarium I've been since I was a kid. This aquarium is an ocean conservatory in Monterey, CA. The entrance fee is a little less than $50, but if you have AAA, a student, or a senior, you can get a discount. To be honest the price is  the only thing that turned me off about this aquarium. This aquarium has cute otters, fishes and sharks, shellfishes, penguins, and other sea creatures. We learned so much about these sea animals. We also enjoyed touching some plants. They have shows where they feed the animals. We enjoyed our visit to Monterey Bay Aquarium. Although I think that the place was small and pricey, I love their mission. I'm looking forward to visit again soon."
26,2019-10-30,4,"Baby Shark Doo Doo Doo!Monterey Bay Aquarium is probably the most popular site and attractions in Monterey. One of the bigger aquariums I have been too.Street meter parking, $1 per hour, max 4 hours at the meters by the aquarium. Some meters further away are 2 hours only. Adult Admission is $49.95. Kiddos were free. Busy even on a random weekday at opening. We lined up at 9:50 am and the line was about 30 people deep. Prepaying does not let you skip the line outside. You still have to wait in the normal line queue.Tons of different exhibits inside. Spread out nicely. Two levels. The otter section was super popular. Always had crowds. I was a fan of the Open Sea area. The bright jelly fish were awesome. I also liked the canning area right in front. Pretty neat.The kids area was great. Lots of interactive things to do and play with.And if your kid is a fan of sharks, they are placed all over the aquarium. Gift shop was super pricey. Very stressful but enjoyable 2 hours until the kiddos broke down! :)"
27,2020-01-01,5,Probably the best aquarium on the west coast.  They do fantastic work for environmental protection.  This is a top site for anyone visiting Monterey.  It's a little expensive to go but worth it to see the exhibits and help contribute to the conservation efforts.  It gets very busy so plan accordingly.
28,2019-11-09,5,"There's nothing I don't love about this place. Spend a few hours here, be educated on the animals by friendly keepers, shows, and signage and enjoy great views of their animals!I absolutely love sea otters and really enjoy the sea otter feeding and seeing it up close. If you want a good spot for the feeding on a weekend or on a crowded day, show up a little early to get a good spot!"
29,2020-01-01,5,"I adore the aquarium! I have been to the aquarium many times and love all that it has to offer. The exhibits are all extremely well done and the feedings are well spaced out so you can see them all, no problem. The exhibits tend to be crowded, so definitely be patient (especially at the otters) with those around you. It is certainly worth it to take your time. At the feeding the presenter will ask everyone in the front to sit on the floor, ensuring that everyone has a chance at seeing everything, so less to worry about there. The outdoor viewing deck is definitely worth a bit of time as well. There are otters, dolphins, and more to see and you will likely see something. The food at the cafe is pricey, but good. If you don't want to wait in the line, you can come and go (as long as you get a hand stamp) from the aquarium, the prices likely won't be too much better outside the aquarium though. Definitely go see all that the aquarium has to offer, it is more than worth it!"
30,2020-01-18,5,"If you're ever anywhere near Monterey, definitely pay this aquarium a visit.  A lot of typical marine animals, but the layout of the building and exhibits is so well designed that it adds to the experience, not to mention how clean the place is.  My kid loved the touch pools and sea bird exhibits. Unfortunately, the aquarium is right in the middle of Cannery Row, which is nothing but a tourist trap that needs to try harder.  Avoid all that."
31,2020-01-07,5,"I was so excited to come here, one of the best aquariums I've ever been too. Its very large and we spent most of the day there. We also got to go on a behind the scenes tour and feed the trout and  fish in the kelp forest. The gift shops and cafeteria were nice as well. Fortunately, we did not have trouble finding a parking spot; we found a nearby parking meter and the hubster just had to add money to it every couple of hours. My favorite exhibits were Kelp Forest, The Open Seas and Tentacles. Monterey Bay Aquarium is indeed very crowded and annoying at times. However, I would definitely pay to come here again because there is so many amazing ocean creatures to see."
32,2019-10-18,5,"I'd give it 10 stars! It's a bit pricey, but a GREAT CAUSE TO SUPPORT! If you stay all day, like I DO, it's totally worth it. Be sure to sign up for text alerts when you get there & look up the feeding times to plan your visit around. Also, if ticket line is really long, get on your phone & buy there - - then breeze past the line! My absolute favorite area is the jellyfish! SO SO RELAXING & such fascinating creatures! Besides the ""famous"" Sea Nettle species, I couldn't take my eyes off the Spotted comb & Sea Gooseberry ones! They just don't look real! And the Ocean Sun Fish is HUGE & looks PREHISTORIC!  Stop reading & plan your trip to experience it all for yourself!"
33,2020-02-07,5,"I grew up visiting the aquarium and have always loved it. Now that I am older with my own kids, they have fallen in love with the place and ask to go every year."
34,2019-12-29,5,"Absolutely stunning. I am still in awe. You hear it's the best and greatest, but once you experience it you'll really know what all the raving is all about. We purchased tickets from our hotel nearby so we skipped the line which wasn't too long on a Sunday afternoon around 3pm. BUT it was very crowded. We thought coming later would help us avoid the busiest time of day but it was very crowded. Still were able to enjoy our time. The jelly fish and sea otters were my absolute favorite. I could sit there and watch them for hours. Yes the tickets are pricey but let me tell you, well worth it!"
35,2019-10-19,5,"Love this Aquarium!! So much to see! As soon as you think you've seen everything, you turn a corner and there is a whole other section to explore. It is very easy to spend all day here. I love that they have an open ocean exhibit, not many aquariums have this. There are sea otters, jelly fish, sting rays, octopus, small sharks, a sea turtle, many tropical fish, animals in the desert biome, a variety of sea birds, penguins and more! I love that all the exhibits are large and all the animals look healthy. They seem well taken care of. When you arrive they give you a pamphlet that includes the schedule of all the animal feedings for the day and the times for the shows in the auditorium. There also are guided tours for people 6yrs old+ that cost extra ($15 per person, $12 for members). We did not go on a tour. There is a cafe in the aquarium but it is ridiculously overpriced so we dined elsewhere for lunch. As far as parking is concerned, there is a paid parking garage with a free trolley that takes you to the aquarium. We decided to park on the street. It was metered but only cost around $5 for the whole time we were there. l recommend this aquarium to families and people without kids too! Can't wait to come back."
36,2019-09-07,5,"Before you read this whole review, if you need to hear one thing, GO TO THIS AQUARIUM ASAP!! I have been looking forward to going to this aquarium for months now and it definitely did not disappoint. Although the prices are a bit steep, it goes to a great cause so I am not upset one bit nor should you. If this is holding you back, PULL THE TRIGGER AND GO! This is one of the only aquarium with a real kelp forest and pulls in real seawater. That to me is an amazing concept. Not only this, it's one of the few aquariums that have sun fish! There are numerous photo opportunities throughout the aquarium and the exhibits will take a few hours to go through. The walkways are a bit confusing as there are multiple levels and some exhibits you need to go up a floor only to go back down on the other side, but it didn't bother me as it felt like I discovered something new and got excited about it. I cannot stress this enough, check the Monterey Bay Aquarium out!!!!"
37,2019-08-20,5,"It's unbelievable of all the years that I have been living in the City Of San Francisco Ca USA!!! I have never been neither to San Francisco Bay Aquarium of San Francisco Ca nor the Monterey Bay Aquarium of Monterey Ca!!! The drought has finally ended... I came here with my family to the Monterey Bay Aquarium last Thursday on August 15th 2019 in the afternoon!!!As I first walked into the Monterey Bay Aquarium... I was really interested to see all kinds Fishes Around The World!!! But my most favorite Fish that I really like most seeing is the Tropical Fish from the Bahamas and like the the ones you would see in the Japanese Tea Gardens... There was also Penguins which was another of my most favorite thing that... I like seeing!!! Other than those things that I saw!!! I also had a chance to see Sharks, Octopus, Jelly Fish, Star Fish, Sting Rays, up close!!!I have to tell you when I saw them Jelly Fish it feels like when I watch the Sponge Bob Square Pants Cartoon when Sponge Bob Square Pants touches them Jelly Fish and guess what happens he gets electrocuted!!! But in real life don't try touching them Jelly Fish they will cause damage to your skin!!! Now that, I finally had the chance of going to the Monterey Bay Aquarium of Monterey Ca USA!!! All I can say is that this is really fun place to visit and to see all kinds exotic fishes from every place around the world!!! To all those yelpers and non yelpers... I highly recommend the Monterey Bay Aquarium of Monterey Ca USA as a place to go to!!!Just take a look at my posted pictures and videos of the Monterey Bay Aquarium of Monterey Ca USA and you know what I am talking about!!!"
38,2019-12-24,5,"Fantastic aquarium with lots of cool exhibits, shows, and some pretty massive fish tanks! They have the famous jellyfish against blue background you may have seen online a bunch (attached). There's also a (rescue) sea otter feeding show which is absolutely adorable (aside: I wish I could eat fresh fish off my belly all day). Great for kids, and has a nice view of the ocean out back."
39,2019-12-18,5,"We had come here many years ago, but recently theyhad a ' open house'( free ticket) to tri countyresidents. We waited in a long line and 15 minutes later were inside the aquarium. Staff were veryfriendly and helpful. Great exhibits of the Open Seaand the wonderful jellyfish displays. Beautiful!So much to see."
40,2019-07-26,5,Amazing aquarium. I thought my kids would last maybe 2-3 hours and after 6 hours we were the tired ones. Outstanding employees and demos. It was high season so it was really busy. I think my 8 year got more excited here than he did at Disneyland. Loved all the exhibits. The reef exhibit was his favorite. So many different levels to see it on. The feedings were very busy but neat to watch.
41,2019-08-04,4,"Such a beautiful facility with many educational standpoints on marine life. I definitely recommend this to adults and parents that have kids a little bit older (maybe 5+) to fully appreciate the overall activities in the aquarium. There are a lot of hands-on sections throughout the aquarium that teach things ranging from different types of kelp to how waves are formed to how to pet a bat ray.Granted, places like these are all about timing. I have been to the aquarium several times during different parts of the year and have had very different experiences with each visit. When it is quiet, I like to sit and listen to music while I appreciate the Deep Sea section and the Kelp Forest. I especially enjoy spending time watching the jellies. When it is crowded, it's difficult to sit and relax since there are so many people. But! It doesn't mean you cannot enjoy your time there. You basically are in control of your own experience. Take pictures! Without flash of course. Enjoy the scenery. Sit in the theater and educate yourself about sharks and otters. Attend the feedings and take in all the amazing facts about the fish. Bring your student ID! It is a $10 discount.And don't forget to bring a reusable water bottle. Cause it gets hot in there and you'll be thirsty.There is a parking garage close by. It is $18 for the entire day. Enjoy your trip and make sure you take your time!"
42,2019-07-23,3,"This was a very overrated place to go to. It is basically just a tourist attraction. There is not so much to see or  do that is worth the exaggerated entrance fee of now $40 a person. For a family of four we ended up paying $150. If you are a student there is a small discount. Children have to pay $30. Adults have to pay $40. You're better off if possible purchasing the annual fee which we ended up doing. it will save you so much more money in the long run especially if you are going with a group. Just pay the annual fee this way you can go whenever and at least get your money's worth otherwise it's not that big of a deal to come here. I would rather enjoy all the beaches, wharf, view points, hikes, and the little shops in the area."
43,2020-01-28,5,"This is place is a must visit when in the Monterey Carmel area. I've been visiting the aquarium almost monthly for the past 2 years since my son loves seeing all the animals. Even after 20+ visits he still loves to go and see everything. The single day tickets can be pricey but becoming a member is great value. With the Oceans Advocate package you get two  adults, children/grandchildren, and two transferable guest cards that your friends and family can reuse. I also believe you can add up to 7 or so children/grandchildren up to 21. When people use the guest cards you don't have to present for them to use them. The exhibits have been the same for several years but you can always find something new that you never noticed when walking around. The penguins, open ocean, jelly fish, and baja exhibits stand out as must sees when visiting. The feeding times at each exhibit area also worth seeing at least once. If you want to avoid the crowds visiting on a weekday or seeing exhibits opposite of feeding times is the way to go. I would bring snacks if you have little ones as the food options are limited at the aquarium. If you get there before 10am you can find cheaper meter parking on the street.If you need something to do on a weekday with younger kids the aquarium is the place to go!"
44,2019-08-21,5,"We loved stopping into the aquarium while visiting Monterey. It has many interactive exhibits and is surrounded by great places to eat and shop. My favorite area was the extensive jelly fish aquariums. I could sit and watch them for forever. One thing I didn't like is that they do not offer a teacher discount. If I had to choose between this aquarium and the Atlanta, I'd choose Atlanta. I still think it is a great visit and worth seeing if you are in the area!"
45,2019-12-08,5,"This is an amazing aquarium that actually cares about the animals in their care. It looks small from the outside, but it's bigger than you think once you enter. The staff are excellent and are incredibly knowledgeable. I highly encourage chatting them up - there are some incredible stories and facts to learn about our ocean creatures. They are there to share their passion and educate the public!The price of admission is steep, and there aren't really any coupons/sales. A few ideas:1. Some Airbnb's offer free guest passes though sometimes they require you stay a certain number of nights. 2. Some hotels will offer a promotion to let you get the passes for 2 days for the price of 1 day. 3. Befriend someone who has a family membership and has 2 guest passes to lend. 4. Get your own membership and be an ocean advocate ;) At the very least, this is a conservatory and they actually care about their animals. It's not going to some for-profit that seeks to profit off of caged animals.The displays are quite incredible - jellyfish is beautifully lit. The otters are adorable. Watching the sea turtles in the huge tank is so relaxing. The programs put on with a live narration are incredibly well timed and engaging. The view of the coast is breathtaking, and I'm partial to the white rock outside that is white because of all the birds who relieve themselves on it. I've always parked on the street. I would be cautious about the parking regulations and meters as the area is combed through carefully by parking police."
46,2019-09-14,4,"Discounted tickets available for 65 yrs and above.  The cashier was unimpressed by the fact that I would be 65 one day. :)This is an exceptionally great place to take kids - educational opportunities in every direction geared toward children.  They also offer lectures, delivered at more of an adult level, in the auditorium throughout the day.  I recommend that you sit in for a few.There is a great observation area for seeing the sea otters at play.  This kept me busy for the better part of an hour.  As an adult, I can say that for me, one visit is sufficient.  If you have kids and live near enough to come a few times a year, the family membership makes good sense."
47,2019-07-08,3,"I love Aquariums....so much so that when I'm traveling across the country for business or pleasure I typically try to make time to visit them in whatever place I'm in. Georgia Acquarium in the ATL , National Acquarium in Baltimore and Shedd in the CHI are some of my faves. I remember going to the MBA as a kid and had fond fond memories. I returned recently and while I enjoyed myself  I can't bring myself to give it more than a 3 star rating. $50 a pop to get in but the aquarium is very modern and spacious.  I like to get places early so when we showed up near opening hours it was busy but not overwhelming. Parking can be a hassle but once again  since we got there early it was not an issue. My favorite exhibit was the jelly fish. Solid solid venue but I went with the three only because I thought to myself if I had a friend here from out of town for a few days would I insist they make the 2 hour drive to Monterey just to go to this place....(ehhh). If you like my reviews, consider ""following"" my profile for reviews all across the SF Bay Area. Why ""follow"" someone?  It causes the person you follow's reviews to tier to top when you pull up a business. I find this very handy when researching venues.  Also have a link on my profile page to my newly created gram.Rod's Review grading scale explained. Essentially I personally base it on the likelihood of a return visit and I try to be stingy with 5 star reviews since they should be ""special"" in my eyes. Price/Value also play a role. Just because a steak is $75 doesn't make it a 4 or 5 star venue nor does a $1 taco unless it's delicious. 5 stars - ""I'll go out of my way"" (approx 6 % of my reviews)  4 stars- ""If I was in the area I'd go here and would recommend"", (approx 38% of my reviews)  3 stars ""Maybe if was nearby"", (approx 37% of my reviews) 2 stars -""Would likely not return, Only if you want to go"", (approx 16% of my reviews)  1 star -""No thanks, even if I was hungry"", (approx. 3 % of my reviews)"
48,2019-12-09,5,"I have been going to this aquarium since I was a little girl and I'm now 25, this is a place for all ages! I was amazed at the renovations they have done over the years. I'd have to say the jelly fish were my favorite by far! They have a food court and plenty of restrooms throughout. And if your lucky you can see sea otters and dolphins from the viewing decks outside. It's a must see attraction if your visiting the area!"
49,2019-12-08,5,"We finally had the chance to visit this aquarium on our second trip to Monterey and Carmel by the sea. This place gets busy everyday full of tourists from near and far and locals like the kids who attend nearby.My favorite spot here is the sea otter, the touch pool and of course the cool invisible sea creations like the electric jellyfish.  Be sure to give yourself at least a minimum of 2 hours to see everything, touch everything, and partake in everything. My husband and I wanted to make sure we saw everything here since we drove from Los Angeles and we made a trip out of this  aquarium. Just be sure to come here first thing in the morning and reserve a spot online prior to heading in here otherwise you'll be in the long general line just to get in."
