Number,Date,Rating,Review
11,1/6/2020,5,"We love Seaworld! We love it so much that we get season passes every single year. It is really close to where we live so on weekdays there is actually hardly any line and it is quick to park and get in and have a couple hours of fun. During the holidays they had an amazing Christmas village complete with Mr. and Mrs. Claus to take pictures with!I think it's the best for kids between the ages of 4- 10 but it's also a blast for adults. They are increasing the amount of attractions for grown-ups as well including new roller coasters and water rides. Â If you buy a year pass you also get a discount on things that you buy in the shop and at the concession stands so it's definitely worth it. on a related note, I see a lot of articles in the newspaper talking about how Seaworld really is a great part of our San Diego community. They are always saving little creatures from the sea and our beaches. Keep up the great work Seaworld!"
12,1/15/2020,1,"Bleh. Â Seaworld should honestly just close commercial aspects and focus primarily on the animals and research. Â SeaWorld as an entertainment park was very underwhelming. Â Many of the attractions were closed and the shows even though times were printed in their daily handout, they would change the times. Â It made it very difficult to plan your day and if you like to maximize your time in the park you will have a hard time doing that here.What makes me the most upset is what happened to my parents when they were grabbing food from the Calypso Bay Smokehouse. Â So Calypso Bay Smokehouse is a cafeteria style food service where you get a tray and pick up items they have on the line. Â As one of the only places for food open, there naturally was a long line since your food options were VERY limited. Â After about 45 minutes in line, my parents get to the front and while looking at their options they asked the staff if mac - n - cheese was available. Â They responded, not for another 20 minutes. Â (right after they finished going through the line, they replaced the mac n cheese)Then my mom had asked for ""The Brisket Sampler"" and she got an irritated response from the staff, ""THERE'S ONE RIGHT THERE"". Â My mom had already looked at that plate and she said it looked disgusting and questioned why they would even serve that.She had politely asked if they would serve her another Brisket Sampler and the same worker said, ""Ma'am there's one right there"" as she's holding another Brisket Sampler in her hand but wouldn't give it to my mom.To the workers of Seaworld, if you dislike your job or do not want to be there, then please quit. Â To Sea World Management, if this is the type of product you put out, just pack it all up and close down."
13,1/26/2020,5,This is a great park with a lot of attractions and great pricing. Unlike Disney it has easy access to and from the highway and you can park right next to the entrance so you don't have to walk for miles like the other theme parks. They have upgraded the Orca show which is very informative. The Christmas and holiday attractions and food are great. I would definately recommend this park for families and friends.
14,9/14/2019,3,"So excited to finally visit the granddaddy of all Sea Worlds where had only been to the one in San Antonio. We arrived by Lyft to end up getting stuck in traffic at the parking lot entrance where there was no dedicated ride sharing/drop off lane. After a long wait we were dropped off in front but the pickup is located somewhere else in the parking lot with poor signage. I had purchased passes online (recommended) and upgraded to Quick Queue Premier to save cost and avoid a line. There are many sea life animals to see and rides to enjoy. Â For some reason you had to pay to go up the Skytower Ride to enjoy Sea World from above. Â There were plenty of shops and hands on contact with animals. The one I most enjoyed was the tank full of Garra rufa fish where you could stick your hands in and let these tiny carp eat off your dead skin basically cleaning your hands (no feet please).Sea World has changed dramatically where Shamu no longer performs, poor food quality, unfriendly employees, and unmaintained sections of the park. I found it here the same as in SA. I noticed some rides were shutdown where this was July 4th week and expect everything operational. It's seems like the park focused on only entertaining the little kids except there are a few rides for the teenagers. Since I had Quick Queue Premier this allowed me to cut the line, but for some rides it did not matter especially in the morning.I was not impressed with the Penguin Encounter where it was so dark you could not see the penguins and the glass was so filthy and even if the lights were on you still would not see them. I also kept overhearing parents telling to their kids how the orcas used to jump out of the water entertaining guests by getting them wet and seeing the trainers fly in the air. Â When I was a kid Shamu was the reason people went to Sea World.This location has a smaller footprint but packed with lots to see and easy to walk around. Â There are rides and educational sea life exhibits, and everything is stepped up compared to the SA location. The weather is great and gets chilly at night so bring a light cover to enjoy to night performances. And if you are looking for Aquatica then it is located at another location in San Diego where it is much warmer."
15,12/8/2019,4,"We were able to get BOGO free tickets because of Black Friday, so we saved on the cost of entry. Between parking, souvenirs, and food/drinks we made up for what we saved. We didn't know that the only way to see the orcas was to see a show, so we missed out on that. We did get to see the dolphins though, and that was a cute short show. The sharks were pretty cool with an underground tunnel where they swim over you. My toddler wasn't a fan of it, but it's a great way to see all the teeth sharks have. The penguin exhibit has a slow moving sidewalk so you can see them walking/swimming, but it's not a large exhibit. I know they have more hands-on experiences, but with a 2-yo, there wasn't a whole lot we could do. You can bring your own food and drinks, and I wish we had done more of that."
16,12/22/2019,3,"We had a nice time at SeaWorld! In a single day, we managed to see all the shows, go on most of the rides, and visit most of the animal exhibits. Just make sure that you plan your day accordingly, taking the showtimes into consideration -- we arrived at most of the shows 15-30 minutes before they started and there was plenty of seating, but a few of the holiday themed evening shows filled up very quickly. Pro-tip: if you sit toward the back of the ""splash zone"", there is a high chance you will not get wet and you will enjoy one of the best views of the show. In my opinion, the animal shows are the best part of SeaWorld. The dolphin, orca, and sea lion shows are very well done, more educational than what I remember, but still entertaining. Some of the evening shows, particularly the Cirque Christmas show, were a little bit anticlimactic and not really worth the wait, since you have to get there pretty early (30+ minutes before) to get a good seat/get a seat at all. Some of the things I didn't really like about the park is first, navigating, especially after dark. Following the map got pretty confusing (I made more than my fair share of wrong turns) and although they have some signs posted indicating where to go, they are few and far between. More lighting after dark would also be helpful. Second, I know this is to be expected at theme parks, but the price of food/drink is a little insane. $10 for a hot dog?? Just bring your own food/snacks into the park. Overall though, we had a good day seeing all the different aquatic animals, and being there during the holidays was nice; you avoid the sweltering heat and large crowds."
17,2/8/2020,1,"Attractions were closed, and the whales looked very unhappy to be in the tanks. They all had collapsed dorsal Â fins from not being able to swim like they should be. Sea world should be ashamed of themselves for separating whales and keeping them in small tanks. I suggest you guys watch Blackfish on Netflix."
18,1/7/2020,5,"I love seaworld and have been an annual pass holder for many many years with no plans to stop. They have great events all throughout the yr. They do stuff for Chinese new yr, a summer concert series, Halloween bash and christmas event with pop up food booths ect. My fave ride is Atlantis and sometimes ride it over and over. I also love the skyride bit hate that it closes early as its relaxing to go on at night. The food is mediocre. I usually get the chicken tender from pineapple petes and everytime I say never again yet I still order it. So maybe I do like it.There is 1 cart type ride over by the new childrens section that has never worked. I havent wanted to go on it for a few urs now and always closed, so that's super disappointing. I'm also bummed they closed a lot of the aquariums. I do enjoy seaworld but hate that the sealife is all leaving."
19,1/5/2020,3,We came here for the first time (have lived in town 13 years) when we had family in town for the holiday. We came on a Friday and have gold passes. Â It was a pain to get into the parking lot (long lines and one employee working 2 lines). Â Then they have you drive forever to park. Â Then you have to walk to the gate.After you go through security you either can buy your ticket on the self service kiosks or wait and talk with a live human. Â We were able to get 2 of our gold passes on the kiosks and the free tickets but 2 of our gold card pass holders could not print their ticket and it would not work in the app so we had to go to the line. Â It was about a 20 minute wait. Â They took mine and my toddlers photo for the gold pass but not the other 2 pass holders.We did the pools in front where you can interact and touch the animals. Â We then ventured to the kids section and waited in line for a ride. Â Kidlet tried to do the big huge climbing thing but shoes kept falling off.We tried to do the sea lion show but it was full so we went to the dolphin show. Â It seems like such a small pool for the amount of animals they have in there. Â You could see the animals in the holding pens before the show starts and they had 6+ animals in a seemingly small space. Â The show was 15 minutes of a warm up (dolphin island for the holidays) and then the show was about 15 minutes.We went to get food (and booze) and I was suprised that the gold pass gives you a 15% on booze even! Â The zoo does not do discounts on booze. Â We made our way to the line for the sea lion show. Â We liked this show much better (sea lions live a riff on Saturday night live). They did various tv shows with humans and animals interacting together.After that we were close to a roller coaster (manta? Â Mantra?) and went to get in line only to find out the wait was 1 hour. Â We went to look at otters and dolphins before our family decided they were tired and wanted to leave.Next time I go we will spend more time in the kiddie area and see more of the park. Â I do not think we will renew the passes as it just seems so sad (we have zoo passes also and my husband has the feels about zoos being sad).We will try to enjoy our passes for the year we have them and try to get our monies worth/see the things we want to see.
20,11/22/2019,5,I would give Seaworld a five star review because it is definitely my favorite amusement park of any I've ever been to. I love the shows and interactive displays. The arcade is the best of any I've ever been to. They have a jungle gym that goes over 30 feet high with all kinds of cargo and rope netting. The parents are encouraged to go up with the kids and it holds hundreds of people and is massive and spends over the entire kids play area which is probably an acre. You can touch all kinds of wild sea creatures and an enemies.
21,7/31/2019,5,Sea world was Awesome!!! I haven't been in a very very long time and just as I've expected! There has been so much wonderful quality educational messages in each of their shows! I truly loved it! Sea world has done so much to give so much love and care to all the beautiful animals!!!! I will be back again!!! I loved all the stations to touch all the sea animals!!! I loved it!!!
22,8/26/2019,4,"SeaWorld is one of those places where you can go and enjoy the outdoors activities. Fun for all ages and great live entertainment. The seasonal passes are very affordable and the perks that come with it are reasonable. Especially the dinning pass, to be able to eat every 90 minutes is extremely helpful. Walking around the theme park with young kids or teenagers can get a little overwhelming. Like most theme parks they are designed to always circle back to the front of the park. So it's almost impossible to get lost. Maybe turned around but not lost. From the Sea Lion to the Whale Shows there is always something going on. SeaWorld is an adventure plex, fun for all ages and an experience to remember. To EVERYONE, who is dedicated to operating and facilitating the daily functions of SeaWorld keep up the great job. It shows in the property and the on going efforts from your staff! ."
23,12/6/2019,3,"For those who have never been to a seaworld, it may be worth a visit. For those who have been to this seaworld or other seaworld in the US in the past, the quality of the seaworld in San Diego has definitely gone down. The Orca, dolphins, sea lions and the otter shows are just not the same anymore. They are not as entertaining and the tricks they performed Â are less impressive. Hopefully this is due to more animal rights protection and not due to lower budget or cost/profit Â reasons. Parking is is ridiculous at $25. Food is crazily expensive. Windows to see the penguins and other sea life creatures are filthy. The special Xmas shows are entertaining and nice. Great job. Don't miss it. Â Tips for others. Bring water bottles. Bring your own snack/food/Sandwich. The food is terrible and overpriced. They know you will have to pay and buy them so really isn't any incentive for the park to improve their food service/price."
24,8/6/2019,5,"We had a wonderful day learning all about sea life, watching a variety of shows and riding the thrilling roller coasters. Â There is truly something for everyone! Â We were greatly amazed with how much there was to do and how close and personable you get to be with the animals. Â We felt you can't beat it for the price!!! Â We also recommend the ALL you can eat wristbands. Â Good quality food, large portions and wide section!"
25,7/20/2019,4,"We came on a Saturday expecting it to be busy, but it was insane. Just getting in took about half an hour, no guidance or guidelines to follow as everyone drove negligently, speeding and cutting vehicles off. They need a better set up for sure! Usually when I'm in a large, overly crowded place, it sets my anxiety off, but I was surprisingly ok here. We really appreciate that they support our AD military AND our veterans. We scored 4 free passes, but still had to pay $85 for an extra pass. We caught almost every show, sat in the wet zone for the first time at the Orca show and had a huge splash! We got prime seating for the Sesame Street parade and visited 90% off all the animal exhibits. We haven't been here since our older two were very little, so we wanted this to be super special for our little girl and one year old's very first visit. You all didn't disappoint, we could have just sat and watched the two sloths all day and been happy. This is our 5 year old's favorite animal, right along with the flamingos. We got the kids' caricature done on the way out, almost $200! I couldn't pass it up as I always get one at every park we go to. Your summer Electric Nights theme was so much fun and our 5 year old had a blast with the glow dance party with the mermaids, but the Clyde & Seymour show will always be our favorite! Thank you, Sea World and see you next summer."
26,7/13/2019,4,"We bought tickets ahead of time. 20 minute line to walk in the front gate.When you first walk in there are some fun areas where you can ""pet"" the fish - by which I mean that fifty tiny fish will come up and nibble on your hands when you stick them in the water. It's a little ticklish! My 8 year-old adored it.Food quality in the park is not so great, but that's also not surprising. Bring your own, or spring for the usual tasty-but-unhealthy fare. Also, expect to wait for your food. Some vendors are as long as 15 min!The seal (and sea otter show) was fun and funny, but we ""only"" showed up 15 min in advance and were stuck in the nosebleeds. You really need to get there early for decent seats. Still, the kid loved it and the verdict was she was happy with the experience.The manta ray roller coaster gets special mention as a great coaster that anyone can ride. It IS intense though, so don't expect a cakewalk! My heart was pounding like crazy and the rug rat was laughing like an insane maniac.The inner tube ride is also really fun, and not at all intense. You do get wet, but you can get ponchos before you get on (recommended!!)Many, many awesome creatures to check out here! Not a cheap experience, but overall it's an great way to spend a day with the kid/kids!"
27,12/1/2019,5,"We had a phenomenal time as a family, especially since we were able to get the annual pass discount deal for Black Friday. The establishment appears to be making real efforts to improve the public education and awareness to help the animals now. I enjoyed the entire park, from the rides to the shows. The park was extremely clean and all of the staff interactions we had were pleasant. I am looking forward to using the passes throughout the year and definitely recommend this family experience."
28,8/27/2019,5,We had a great experience here. 1st time we went to the San Diego location I was pregnant and couldn't walk. We rented a wheelchair & we did so much! We really enjoyed our day there! The shows are amazing & the food was good. Like any amusement park in general of course the food was super expensive but we definitely had a really good time. We're military so we did get a nice discount which is great since of course the tickets to any amusement park are also very expensive. Everyone was super professional and very courteous. We're thinking about getting yearly passes
29,11/17/2019,5,I loved coming here when I was a kid and now I get to take my nieces here. We had fun letting pet the starfish and check out all the animals in SeaWorld. Everyone enjoyed the shows and little rides.Of course. The adult had some of their own fun. Like swimming with the dolphins and a little lunch date with Shamu. We always have a great time here. I would just say it's pretty expensive. Just like any other theme park.
30,2/28/2020,1,"I love Seaworld however, their Web site is the worst!Last time, they charged us and didn't send tickets.Today I tried to buy again and the same thing happened!They require you to enter the names of the people coming but when I click continue, nothing happens.They charged my bank account but sent no tickets.I have now been waiting over 20 minutes on the phone on hold!Another 5 minutes and I cancel."
31,1/7/2020,1,"Not worth at all. Â Dolphin show a few minutes of performance the rest just talk, little better with orcas. Half of the rides and food kiosks were closed. Not enough thing to do for the $ paid. Should be more like $25adult and $20 per child!Way overpriced! Â Parking $20-$40 seriously? WTF?Spent over a few hundred in toys to get an answer ""sorry no bags available"" what a joke! Been at Legoland a day prior spent same amount, Â tons of fun for our kids."
32,4/24/2019,3,"I'm just going to say this right out!! This was my very 1st visit to Sea World.. Ok, I know, at my age, Lol.I actually had a very good time here. Enjoyed the Dolphin show but loved the Orca's!! Those poor people up front in the soak zone-best thing I'd seen all day!The 2 downsides were standing in line to get food and how unorganized it is and there were many attractions closed due to construction but I have to say I really enjoyed it."
33,1/26/2020,4,"We Â got a season pass to come here since Â July 2019. It's been a great Â idea, we've used it quite a bit. 3 times to Aquatica, 4+ times to SeaWorld, including seeing the Lunar New Year festivities & trick or treating in autumn. Â We love Sesame Street Playland for the toddler. Lots to do and gives us a reason to visit San Diego more!"
34,8/11/2019,4,We had a great time here and I feel that SeaWorld is doing their best to provide the best entertainment possible with a great list of activities for kids and adults that will last you one whole day and possibly two if you want to experience everything without rushing from one activity to the next.I totally understand some of the negative comments from some yelpers but geez get over it. Some of them act as if they were forced to go and dig ditches all day. Your going to have some Cons like prices and parking and the crowds etc with the Pros. This is a great place to visit and it makes more sense to get a yearly membership with all the perks then pay for a day pass if you live in the area. Food is pricy but so is every other theme park like Disney and Universal etc. The shows were fantastic and cool how they get the audience involved. Nice selection of foods all over and cool animals and learning experiences. Staff were professional and knowledgeable.
35,1/30/2020,1,Horrible customer service.I purchased 4 annual passes and didnt read the fine print that it auto renews and will be charged monthly. I realized I was being billed for it and cancelled the day the passes expire.Seaworld still charged me for the following month and said i was my fault because I cancelled the account at night. And they refused to give me a refund!!!Be very careful signing up for their annual pass...
36,10/12/2019,4,"My mom won free SeaWorld tickets and I decided to bring my friend! I went and arrived pretty early. It was Labor Day, so it was pretty packed. The food there wasn't the best. You are able to bring in your own food, so I would suggest others to do the same. They allowed me to bring my hydroflask which was nice! I ordered the meal: three chicken tenders, mac and cheese, and bread. That meal was $17. I wanted to eat every bite considering how much I paid, but the mac and cheese tasted like cardboard. Without any exaggeration, it tasted like cardboard. I did not taste cheese or salt! My friend and I had an awesome time and we enjoyed the workers (all of them are around our age and were extremely personable). I just moved down to San Diego recently and mentioned this to a lot of the workers and many of them, being that they were locals, directed me to cool beaches and events to attend. The attractions/rides were pretty good! I felt very safe.The dolphin show was the best show they had!!!"
37,10/17/2019,2,"We entered hopefully having a wonderful day. Â There entry cost is low but the nickel and dime you in the park. Â 6$ extra each to take the sky ride. Â Extra charge for reservations and fast track options.They also seem to want to cause a line, a wait, a delay, a stop in the fun. Â The long single lane for the handiecap parking was our first clue.The restrooms were not kept clean and the park seemed under staffed for a Saturday in October. Â It fall break for us we wanted a great experience. Â The unlimited food deal is good, but u have to wait so long in line and not all food court's participate.The final assault on our time was at the Ship Wreck Cafe at 6:15 Â and got there just as they open the other side of the buffet presentation. Â We wizzed thur to probably the best food at the park. Â When the rest of the family arrived we were all eating when my niece arrived and we went to the buffet and they just closed the second side of buffet at 7:00 and forced a wait. They close at 7:30, so they did not save any hours, just made us wait to get through the long line.Its becoming a just ok spot in southern California's venue outdoor parks."
38,3/3/2020,3,"I haven't been to sea world for quite some time now and was so excited to finally come back on February 29. It was a nice, sunny but cool day and my family and I couldnt wait to see what exciting things we were about to do. We couldn't be more disappointed. We first tried to get on Manta, which we waited about 45 minutes in line.. only to see that the car got stuck and the employees told us it was going to close down. We were so close.. then it got stuck. What happened to maintenance check?? The park just opened around that time too.. ok, so then we tried to get on shipwreck rapids and waited about an hour as well... right before it was our turn... we saw that the ride got stuck as well.... and employees told us it was closing down... at this point i was fed up.. asking myself why us... and feeling lots of regret going that day. We complained to guest services and they gave us free fast passes good for a year.. which was fine, but we wont be coming back. We literally wasted the whole day waiting for nothing... all we did was wait.. wait at the food stalls, wait for the rides.. the only rides we got on were the kids rides. We didnt even get to see any shows... what a waste of time. Please do us a favor and make sure your maintenance crew does their job!"
39,3/30/2019,5,"We had the best time at SeaWorld the other day! If you can swing it, I recommend getting a two day pass. There is SO much to see and experience.They have several large touch pools with a variety of sea animals right as you go into the park. We spent awhile there and then were lured over to the dolphin feeding and training session. What a treat!We planned our show viewing out for the day so that we could easily see all three of the animal shows. The Sea Lion Live show was clearly the most entertaining (with a well thought out and hilarious story line). All three shows showcased how amazing these animals are and are most definitely must sees!You can check out my review of Flatbreads & Fry Cones as well as the one for Pineapple Pete's. Those are the two food establishments we visited.A couple of rides we planned to ride as well as the aquarium were closed the day we were there. That was a real bummer!The walking between everything didn't seem to be as far as you would expect, although we did do well over 14,700 steps that day.The Sky Tower is an additional $5 per person, but well worth the price. We went up so high; it was an amazing view.We definitely hope to be able to return someday and I highly recommend it if you are going to San Diego. It was the single best day in a marvelous, yet short, vacation."
40,8/27/2019,4,For those that have been to Sea World Â there are a few things that you should know when you go to large theme parks dirty bathrooms and long lines .  Â  Several times that I have been Sea World tour will find that the park has remodeled due to the mishaps at shammo stadium . You see food vendors that look like somthe from the ball park and circus combined Â . Â  Â There are a few good restaurants that are in the park the Busch gardens restaurant that serves a good Philly and good deserts . And some of the sandwich places make filling sandwiches and good salads . Â  Â  Â  The bakery near the front makes good deserts and baked goods and incredible ice cream Sundaes . The stores can be over priced Â some of them you will find merchandise on sale and new T_ Shirts for the year .
41,6/21/2019,4,"SeaWorld...What can I say about this theme park Icon. Â They've been around for ages and continue to trend in the right direction. Upon arrival we noticed that they have a huge parking lot but its best if you arrive early to avoid parking all the way in the back away from the entrance (tip: if you have kids do this!). Â Lines to the entrance could get long, just make sure your bags are easily accessible and tickets ready to be scanned. Â Inside the park, you'll notice a huge touch pool filled with ""Rays"" and Sharks. Â Feel free to touch them softly, as the trainer will advise you. Â My kid loved the interaction with them. Â Worth the memories. Â At this point everything is open to explore from shows to rides and not to mention a cool arcade area. Â The show's include: Â ""Dolphin Days"", ""Orca Encounter"", and ""Sea Lions Live"", just to name a few. Â I had a chance to watch all three with my son. Â We both really enjoyed watching the trainers work with the beautiful animals. Â They do some amazing tricks to keep everyone entertained, and the best thing is that you learn about these beautiful creatures. Â They also have rides for you or your kids to enjoy while your there. Â Check out the ""Shipwreck Rapids"" if you enjoy getting wet (wait lines could be up to an hour). Â Another one of my favorites was ""Electric Eel"" for your thrill seekers! Â But in all there are so many to check out, judge for yourself. Â I know whichever you choose you will have a blast.Once, you built up a hunger from all the amazing shows and rides, you'll have so many choices to choose from to grub! Â We had purchased an all day dining pass (You can enjoy a beverage, an entree, a side or a dessert up to once per hour at participating restaurants.) so we had a few spots to choose from. Â Try out the ""Calypso Bay Smokehouse"" if you like BBQ. Â We ordered the The Brisket and it was amazing, soft and succulent as well as flavorful. Â Remember when you have the all day dining pass you'll have other options to choose from but I'll let you decide what you like. Â All in all it was a great time, everyone had a chance to experience a wide variety of adventures here. Â I highly recommend putting SeaWorld on your bucket list. Â Have fun!"
42,9/14/2019,5,"We have memberships to the zoo/safari park, Children's Museum and SeaWorld and this is my daughter's favorite! We love being members because we can come just for 30 minutes to ""touch the fishies"" at the entrance or an hour to go on rides or run around the splash pad. The seasonal shows are fun, and we love the special member only promotions and events."
43,7/4/2019,5,"My family and I had an amazing time. There was something for everyone to enjoy. I highly recommend checking it out. The best of show would have to be the sea lion and otter show, the Orca whale show was majestic and a very special learning experience. As for my son, he loves the rides. ******* WARNING Â the water ride Shipwrecked was so much fun, but.... you get soaked (don't wear your good shoes, they will get wrecked). Wear flip flops and a poncho for sure. They sell both at the store near the entry*******"
44,1/12/2020,1,"Sort of sad . Penguins stink, A lot of closed spaces . No bright colors . No fun. Seriously... close down . Focus on the animals . Give them larger spaces . Save more animals and stop taking money for amusement."
45,2/29/2020,1,Gregory and Rafael were no help at customer service :( don't loose your kids here cus they close an hour before.... THANKS for the reply Morgan but I've tried calling that number and was on hold 2 different times for 2 hours so a total of 4 hours of my day to get disconnected by the time it hits the 2 hours..
46,12/24/2019,5,"This has been an annual trip for my family for almost 10 years now and we love it everytime. This one is not as big as the one in Orlando but they really pack it in! It's a popular park so dont expect it to be intimate and pristine, but it's pretty close to it. The park is clean, plenty of shops, the animals appear healthy, and the shows are always entertaining. My favorite part? The touch tanks. Especially the cleaner fish! Do yourself a favor, clean your hands and drop them in the cleaner fish tank!"
47,5/23/2019,4,"I'll be the first to admit that SeaWorld is not my favorite. Â The whales especially don't look happy, not that I'm an animal expert. Â They have sharks, fish, turtles, whales, otters, flamingos, and dolphins among other things. Â Some of the displays you can tell have been worked on a lot, but the ending result isn't as impressive. Â It is what it is. I have some cherished childhood memories here, the experience is really geared towards kids. Â The kids play area that is Sesame Street themed is really popular with the kiddos, my niece and nephew really enjoyed the rides and stuff over there. Â I do enjoy the sting ray pool where you can touch the sting rays, it's cool and not an experience that every amusement park can offer. Â It's not super great for kids because you do have to reach down a ways majority of the opportunities to touch. Â Parking is tolerable, but it could be slightly more organized. They could improve some things, but I can see the overall attraction to paying a visit."
48,7/30/2019,4,"We've always been a big fan of SeaWorld in San Diego. Â A good place to relax and spend time with the family. Â Plenty of parking spaces, for a fee, in the vicinity.A plus for our U.S. Armed Forces personnel eligible to receive free day passes for any active and veteran service members and three other dependents each year.A moment well-spent, especially, for those who very much enjoy watching aquatic animals, and better yet, be amazed to see animals that can perform in front of the crowd. Â Unfortunately, the theatrical Orca Show ended in 2017 due to an incident when a trainer was unintentionally drowned by a killer whale, Tilikum, in 2010. Â Although there was a brief hiatus in entertaining the spectators, SeaWorld found a way to enhance its entertainment lineup by adding more shows and exhilarating rides.SeaWorld is a place for all ages, and visitation, in my opinion, is best in the spring. Â The weather is perfect and the place is less congested. Â You will also witness baby animals at this time of the year. Â The flowers in the recreational area are also in full bloom at this time."
49,8/27/2019,1,"This review is of SeaWorlds billing practices. I bought 2 annual passes in April 2018. It had been six months or so since we had used the passes before they expired April 2019 (not that that matters). I noticed my credit card was still being charged for May, June, and July. I called and spoke with someone who said she would cancel the account and refund me at least one month. I called back today and someone else I spoke with said there is no record of a refund and she would not refund me (extremely rude woman). I asked to speak to a manager....30 minutes later still on hold. If you look at the legal terms on the ticket (see photo), it's misleading bc the terms say the pass will expire 1 year from date of redemption. If you are going to start to charging someone month to month....make it CLEAR and put it in the legal terms on the ticket.I finally was able to speak with a manager. She said my case is in financing. I will update the review once I have a final outcome."
